uid,age,gender,experience,mode1_sport,mode1_test,mode1_attention,mode1_mimic,mode1_engagement,mode1_master,mode1_why,mode1_acceptable,mode1_intelligence,mode1_demonstration,mode1_comments,mode2_sport,mode2_test,mode2_attention,mode2_mimic,mode2_engagement,mode2_master,mode2_why,mode2_acceptable,mode2_intelligence,mode2_demonstration,mode2_comments,mode3_sport,mode3_test,mode3_attention,mode3_mimic,mode3_engagement,mode3_master,mode3_why,mode3_acceptable,mode3_intelligence,mode3_demonstration,mode3_comments,mode4_sport,mode4_test,mode4_attention,mode4_mimic,mode4_engagement,mode4_master,mode4_why,mode4_acceptable,mode4_intelligence,mode4_demonstration,mode4_comments
1b38a204-292f-4878-aed7-4f3690815c30,38,Male,No,4,4,6,6,4,5,not like,5,6,4,no,1,1,7,5,6,6,not like,5,6,5,no,2,2,2,3,2,1,i like the robot survey,3,4,2,no,3,3,5,2,4,3,i love robot,5,4,3,no
63ded151-e501-4a21-9a49-3528301396ba,37,Male,No,3,3,3,5,6,6,He is not imitating the movements.,5,4,4,None.,4,4,2,3,3,3,He was watching keenly.,3,2,3,None.,1,1,3,3,3,5,He is not following things exactly.,3,4,4,"None,",2,2,4,5,3,5,He cannot co-ordinate his movements like the coach.,5,5,4,He is a little erratic.
dcbc8172-7352-4979-8374-fc4fa9006b00,55,Female,No,1,1,7,7,7,7,because am easy,7,7,1,no,2,2,7,7,7,7,i just do,6,6,1,no,3,3,1,1,1,1,robots are smart,1,1,1,no,4,4,3,3,3,3,because i do,3,2,3,no
7599245f-f85b-43fc-9b16-d34bc5271f45,31,Male,No,3,3,6,5,6,6,robot doing bad,6,7,3,,4,2,1,2,2,1,clear practice to robot,2,1,2,slightly improve to learn movements.,1,1,1,1,2,1,very fast observing.,3,1,2,,2,4,3,3,4,3,robot was not pay attention,5,5,3,
0a544fff-fda7-4145-bfbe-11345856e525,33,Male,No,2,2,5,5,6,6,The robot didnâ€™t seem to be paying attention to the demonstration. ,5,5,6,The robot seems like a real slow starter. Perhaps an additional training method may need to be explored. ,3,3,2,3,2,2,The robot did pay close attention but thereâ€™s always a small chance that the learning wasnâ€™t precise. ,2,4,3,The robot seemed a little reluctant to show how much was learned from the coach's demonstration. ,4,4,2,2,1,1,The robot seemed eager to follow the coachâ€™s instructions. ,2,2,2,The robot seemed quite responsive to the instructions. ,1,1,3,4,2,3,The robot seemed a little slow in following the coachâ€™s demonstration. ,2,3,3,"Although the robot seemed like a slow starter, things may improve as we go when the demonstration is watched over and over. "
67fa947a-6bfd-4c0b-8105-dd9b2f853d2f,29,Female,No,3,3,6,6,6,7,its not showing any effort to learn the sport.,6,6,6,,4,4,1,2,1,2,as the robot is learning with full involvement. It would master this sport.,2,2,1,Hope it could do better.,1,1,1,1,1,1,"Its very involved , as it tries to do the same as coach.",1,1,1,,2,2,4,3,2,3,Still it needs lot of training to make it easy to do as per coach.,3,3,3,
3150ff72-d687-46f0-af04-55489f262b86,25,Male,No,2,2,1,1,4,3,Mastery is more than simply copying motions.,2,3,2,,3,3,1,1,1,5,It will need to also work on feet movement.,3,4,5,,4,4,1,1,1,2,I think it could master throwing a frisbee and do tricks impossible for a human to do consistently.,1,3,1,,1,1,1,1,1,3,Mastery is more than simply repeating the motions.,2,3,2,
a91a7bc8-83da-41ba-9352-220060a76ebd,43,Male,No,1,1,4,6,7,7,The robot did not move or show indications of attention. It did not attempt to imitate the movements of the coach as one would expect of someone learning a physical action.,7,7,2,The robot exhibited no behaviors.,2,2,2,2,6,5,The robot was paying attention but did not attempt tp imitate teh actions as you would expect from a learner.,5,3,1,"It was attentive, but did not imitate.",3,3,1,1,1,1,"The robot was attentive and imitated the coaches actions reasonably well. With practice, it could master the actions.",1,2,1,This was the robot most likely to be successful in learning a sport.,4,4,1,2,1,6,Teh robot could not seem to coordinate its arm movements to match the coach,3,6,3,"Although the robot was paying close attention, it's arms were uncoordinated."
10d3239e-d1c7-4b67-b5d5-aea41b6e35f3,29,Male,No,3,3,4,6,5,7,the robot was not physically involved in learning,6,5,5,,4,4,2,3,3,4,the robot dint seem to be able to understand well,4,4,4,,1,1,2,1,1,2,the robot seemed to follow the instructions,2,2,2,,2,2,2,4,2,5,the robot didn't seem to be able to understand ,4,3,4,
f6081ebc-c013-4379-b301-6afd17648fdc,28,Male,Yes,3,3,7,7,7,7,Very bad.,7,7,7,No movement.,4,4,6,6,6,5,Not good feelings.,5,6,6,I just watch this robot's moves only his head.,1,1,2,1,1,1,This robot try to protected from his coach's.,2,2,2,Nice I agree with this robot's behavior.,2,2,1,2,1,1,Very nice,1,2,1,I feel good.
